pageid;category;title;uniquewordcount;doclength;supercategories;docpath
37602;Category:Eagles;Eagle;496;1398;;E:\Datasets\eagles-owls\pages\Eagle
2490728;Category:Eagles;African fish eagle;267;493;;E:\Datasets\eagles-owls\pages\African_fish_eagle
577272;Category:Eagles;African hawk-eagle;59;78;;E:\Datasets\eagles-owls\pages\African_hawk_eagle
14853352;Category:Eagles;American Eagle Foundation;63;123;;E:\Datasets\eagles-owls\pages\American_Eagle_Foundation
4401;Category:Eagles;Bald eagle;980;3313;;E:\Datasets\eagles-owls\pages\Bald_eagle
3830863;Category:Eagles;Bateleur;176;235;;E:\Datasets\eagles-owls\pages\Bateleur
578233;Category:Eagles;Black eagle;187;276;;E:\Datasets\eagles-owls\pages\Black_eagle
12766315;Category:Eagles;Black hawk-eagle;125;162;;E:\Datasets\eagles-owls\pages\Black_hawk_eagle
12418941;Category:Eagles;Black-and-white hawk-eagle;300;471;;E:\Datasets\eagles-owls\pages\Black_and_white_hawk_eagle
7018372;Category:Eagles;Black-chested buzzard-eagle;452;782;;E:\Datasets\eagles-owls\pages\Black_chested_buzzard_eagle
7820814;Category:Eagles;Blyth's hawk-eagle;54;59;;E:\Datasets\eagles-owls\pages\Blyths_hawk_eagle
754674;Category:Eagles;Bonelli's eagle;128;173;;E:\Datasets\eagles-owls\pages\Bonellis_eagle
441578;Category:Eagles;Booted eagle;89;119;;E:\Datasets\eagles-owls\pages\Booted_eagle
12418591;Category:Eagles;Brown snake eagle;73;105;;E:\Datasets\eagles-owls\pages\Brown_snake_eagle
577765;Category:Eagles;Changeable hawk-eagle;287;456;;E:\Datasets\eagles-owls\pages\Changeable_hawk_eagle
9659288;Category:Eagles;Crested eagle;245;379;;E:\Datasets\eagles-owls\pages\Crested_eagle
579244;Category:Eagles;Crested serpent eagle;261;478;;E:\Datasets\eagles-owls\pages\Crested_serpent_eagle
42915368;Category:Eagles;Crowned eagle;1058;4062;;E:\Datasets\eagles-owls\pages\Crowned_eagle
36282828;Category:Eagles;Decorah Bald Eagles;377;805;;E:\Datasets\eagles-owls\pages\Decorah_Bald_Eagles
88349;Category:Eagles;Eastern imperial eagle;128;193;;E:\Datasets\eagles-owls\pages\Eastern_imperial_eagle
88295;Category:Eagles;Golden eagle;1399;8084;;E:\Datasets\eagles-owls\pages\Golden_eagle
441559;Category:Eagles;Greater spotted eagle;258;404;;E:\Datasets\eagles-owls\pages\Greater_spotted_eagle
579229;Category:Eagles;Grey-headed fish eagle;377;710;;E:\Datasets\eagles-owls\pages\Grey_headed_fish_eagle
8346283;Category:Eagles;Gurney's eagle;76;91;;E:\Datasets\eagles-owls\pages\Gurneys_eagle
87160;Category:Eagles;Haast's eagle;293;604;;E:\Datasets\eagles-owls\pages\Haasts_eagle
357978;Category:Eagles;Harpy eagle;534;1274;;E:\Datasets\eagles-owls\pages\Harpy_eagle
6012711;Category:Eagles;Indian spotted eagle;158;241;;E:\Datasets\eagles-owls\pages\Indian_spotted_eagle
24167602;Category:Eagles;Legge's hawk-eagle;72;81;;E:\Datasets\eagles-owls\pages\Legges_hawk_eagle
441551;Category:Eagles;Lesser spotted eagle;158;236;;E:\Datasets\eagles-owls\pages\Lesser_spotted_eagle
6203976;Category:Eagles;Little eagle;340;751;;E:\Datasets\eagles-owls\pages\Little_eagle
3184691;Category:Eagles;Long-crested eagle;33;37;;E:\Datasets\eagles-owls\pages\Long_crested_eagle
2736950;Category:Eagles;Madagascan fish eagle;115;167;;E:\Datasets\eagles-owls\pages\Madagascan_fish_eagle
3241615;Category:Eagles;Martial eagle;389;722;;E:\Datasets\eagles-owls\pages\Martial_eagle
577784;Category:Eagles;Mountain hawk-eagle;110;145;;E:\Datasets\eagles-owls\pages\Mountain_hawk_eagle
12340053;Category:Eagles;Mountain serpent eagle;33;52;;E:\Datasets\eagles-owls\pages\Mountain_serpent_eagle
2230701;Category:Eagles;Ornate hawk-eagle;164;217;;E:\Datasets\eagles-owls\pages\Ornate_hawk_eagle
3210907;Category:Eagles;Pallas's fish eagle;183;269;;E:\Datasets\eagles-owls\pages\Pallass_fish_eagle
88847;Category:Eagles;Philippine eagle;561;1330;;E:\Datasets\eagles-owls\pages\Philippine_eagle
7964263;Category:Eagles;Tasmanian wedge-tailed eagle;233;379;;E:\Datasets\eagles-owls\pages\Tasmanian_wedge_tailed_eagle
594254;Category:Eagles;Rufous-bellied hawk-eagle;178;255;;E:\Datasets\eagles-owls\pages\Rufous_bellied_hawk_eagle
4967811;Category:Eagles;Sanford's sea eagle;93;137;;E:\Datasets\eagles-owls\pages\Sanfords_sea_eagle
1799818;Category:Eagles;Sea eagle;145;240;;E:\Datasets\eagles-owls\pages\Sea_eagle
231131;Category:Eagles;Short-toed snake eagle;160;212;;E:\Datasets\eagles-owls\pages\Short_toed_snake_eagle
2804118;Category:Eagles;Spanish imperial eagle;87;119;;E:\Datasets\eagles-owls\pages\Spanish_imperial_eagle
7362421;Category:Eagles;Spizaetus;68;96;;E:\Datasets\eagles-owls\pages\Spizaetus
2784262;Category:Eagles;Steller's sea eagle;636;1606;;E:\Datasets\eagles-owls\pages\Stellers_sea_eagle
754740;Category:Eagles;Steppe eagle;142;205;;E:\Datasets\eagles-owls\pages\Steppe_eagle
754711;Category:Eagles;Tawny eagle;105;136;;E:\Datasets\eagles-owls\pages\Tawny_eagle
1984769;Category:Eagles;Verreaux's eagle;854;2659;;E:\Datasets\eagles-owls\pages\Verreauxs_eagle
577706;Category:Eagles;Wahlberg's eagle;111;155;;E:\Datasets\eagles-owls\pages\Wahlbergs_eagle
199882;Category:Eagles;Wedge-tailed eagle;331;628;;E:\Datasets\eagles-owls\pages\Wedge_tailed_eagle
12685092;Category:Eagles;Western banded snake eagle;111;149;;E:\Datasets\eagles-owls\pages\Western_banded_snake_eagle
201634;Category:Eagles;White-bellied sea eagle;641;1604;;E:\Datasets\eagles-owls\pages\White_bellied_sea_eagle
201575;Category:Eagles;White-tailed eagle;543;1108;;E:\Datasets\eagles-owls\pages\White_tailed_eagle
37654;Category:Owls;Owl;715;1792;;E:\Datasets\eagles-owls\pages\Owl
4136174;Category:Owls;Barking owl;352;770;;E:\Datasets\eagles-owls\pages\Barking_owl
244511;Category:Owls;Barn owl;160;297;;E:\Datasets\eagles-owls\pages\Barn_owl
12426918;Category:Owls;Barred eagle-owl;311;594;;E:\Datasets\eagles-owls\pages\Barred_eagle_owl
358108;Category:Owls;Barred owl;320;533;;E:\Datasets\eagles-owls\pages\Barred_owl
386055;Category:Owls;Boreal owl;142;219;;E:\Datasets\eagles-owls\pages\Boreal_owl
587290;Category:Owls;Brown fish owl;508;1110;;E:\Datasets\eagles-owls\pages\Brown_fish_owl
12426884;Category:Owls;Cape eagle-owl;276;481;;E:\Datasets\eagles-owls\pages\Cape_eagle_owl
40271566;Category:Owls;Cebu hawk-owl;42;57;;E:\Datasets\eagles-owls\pages\Cebu_hawk_owl
12426890;Category:Owls;Dusky eagle-owl;43;46;;E:\Datasets\eagles-owls\pages\Dusky_eagle_owl
200237;Category:Owls;Eurasian eagle-owl;1170;4800;;E:\Datasets\eagles-owls\pages\Eurasian_eagle_owl
