pageid;category;title;uniquewordcount;doclength;supercategories;docpath
6899779;Category:Acinonyx;Asiatic cheetah;306;900;;E:\Datasets\Felines\pages\Asiatic_cheetah
45609;Category:Acinonyx;Cheetah;401;1440;;E:\Datasets\Felines\pages\Cheetah
8010676;Category:Acinonyx;Northwest African cheetah;117;187;;E:\Datasets\Felines\pages\Northwest_African_cheetah
46275301;Category:Acinonyx;South African cheetah;225;582;;E:\Datasets\Felines\pages\South_African_cheetah
45330815;Category:Acinonyx;Sudan cheetah;242;745;;E:\Datasets\Felines\pages\Sudan_cheetah
44591102;Category:Acinonyx;Tanzanian cheetah;121;240;;E:\Datasets\Felines\pages\Tanzanian_cheetah
1142028;Category:Leopardus;Andean mountain cat;205;447;;E:\Datasets\Felines\pages\Andean_mountain_cat
1146655;Category:Leopardus;Geoffroy's cat;208;374;;E:\Datasets\Felines\pages\Geoffroys_cat
951156;Category:Leopardus;Kodkod;144;217;;E:\Datasets\Felines\pages\Kodkod
203065;Category:Leopardus;Margay;234;380;;E:\Datasets\Felines\pages\Margay
268115;Category:Leopardus;Ocelot;245;437;;E:\Datasets\Felines\pages\Ocelot
284944;Category:Leopardus;Oncilla;221;383;;E:\Datasets\Felines\pages\Oncilla
9627444;Category:Leopardus;Pampas cat;116;244;;E:\Datasets\Felines\pages\Pampas_cat
9627445;Category:Leopardus;Pantanal cat;111;183;;E:\Datasets\Felines\pages\Pantanal_cat
38065172;Category:Prionailurus;Amur cat;338;806;;E:\Datasets\Felines\pages\Amur_cat
276610;Category:Prionailurus;Fishing cat;211;388;;E:\Datasets\Felines\pages\Fishing_cat
277215;Category:Prionailurus;Flat-headed cat;208;351;;E:\Datasets\Felines\pages\Flat_headed_cat
276512;Category:Prionailurus;Leopard cat;338;806;;E:\Datasets\Felines\pages\Leopard_cat
1001655;Category:Prionailurus;Prionailurus;71;124;;E:\Datasets\Felines\pages\Prionailurus
276589;Category:Prionailurus;Rusty-spotted cat;188;292;;E:\Datasets\Felines\pages\Rusty_spotted_cat
24445816;Category:Prionailurus;Visayan leopard cat;117;176;;E:\Datasets\Felines\pages\Visayan_leopard_cat
45024184;Category:Puma_(genus);Argentine cougar;25;30;;E:\Datasets\Felines\pages\Argentine_cougar
3005088;Category:Puma_(genus);Costa Rican cougar;41;48;;E:\Datasets\Felines\pages\Costa_Rican_cougar
78160;Category:Puma_(genus);Cougar;415;1429;;E:\Datasets\Felines\pages\Cougar
4032677;Category:Puma_(genus);Florida panther;263;675;;E:\Datasets\Felines\pages\Florida_panther
11370217;Category:Puma_(genus);Gulf Coast jaguarundi;190;331;;E:\Datasets\Felines\pages\Gulf_Coast_jaguarundi
379217;Category:Puma_(genus);Jaguarundi;246;397;;E:\Datasets\Felines\pages\Jaguarundi
4696085;Category:Puma_(genus);North American cougar;91;186;;E:\Datasets\Felines\pages\North_American_cougar
28627789;Category:Puma_(genus);Northern South American cougar;24;33;;E:\Datasets\Felines\pages\Northern_South_American_cougar
