pageid;category;doclength
0;comp.sys.mac.hardware;66
1;comp.sys.ibm.pc.hardware;80
2;comp.sys.ibm.pc.hardware;53
3;comp.sys.ibm.pc.hardware;48
4;comp.sys.ibm.pc.hardware;66
5;comp.sys.mac.hardware;56
6;comp.sys.mac.hardware;45
7;comp.sys.mac.hardware;58
8;comp.sys.mac.hardware;55
9;comp.sys.mac.hardware;84
10;comp.sys.ibm.pc.hardware;85
11;comp.sys.mac.hardware;88
12;comp.sys.mac.hardware;96
13;comp.sys.ibm.pc.hardware;77
14;comp.sys.mac.hardware;71
15;comp.sys.mac.hardware;79
16;comp.sys.ibm.pc.hardware;82
17;comp.sys.ibm.pc.hardware;53
18;comp.sys.mac.hardware;132
19;comp.sys.ibm.pc.hardware;112
20;comp.sys.ibm.pc.hardware;66
21;comp.sys.ibm.pc.hardware;73
22;comp.sys.ibm.pc.hardware;38
23;comp.sys.mac.hardware;148
24;comp.sys.ibm.pc.hardware;110
25;comp.sys.ibm.pc.hardware;49
26;comp.sys.ibm.pc.hardware;75
27;comp.sys.ibm.pc.hardware;44
28;comp.sys.mac.hardware;117
29;comp.sys.ibm.pc.hardware;54
30;comp.sys.ibm.pc.hardware;134
31;comp.sys.ibm.pc.hardware;50
32;comp.sys.mac.hardware;37
33;comp.sys.ibm.pc.hardware;68
34;comp.sys.ibm.pc.hardware;97
35;comp.sys.mac.hardware;134
36;comp.sys.mac.hardware;45
37;comp.sys.ibm.pc.hardware;81
38;comp.sys.mac.hardware;92
39;comp.sys.mac.hardware;56
40;comp.sys.mac.hardware;51
41;comp.sys.mac.hardware;76
42;comp.sys.mac.hardware;64
43;comp.sys.ibm.pc.hardware;152
44;comp.sys.mac.hardware;85
45;comp.sys.mac.hardware;51
46;comp.sys.ibm.pc.hardware;80
47;comp.sys.ibm.pc.hardware;75
48;comp.sys.mac.hardware;55
49;comp.sys.ibm.pc.hardware;97
50;comp.sys.ibm.pc.hardware;58
51;comp.sys.mac.hardware;55
52;comp.sys.mac.hardware;87
53;comp.sys.ibm.pc.hardware;76
54;comp.sys.mac.hardware;61
55;comp.sys.ibm.pc.hardware;113
56;comp.sys.ibm.pc.hardware;45
57;comp.sys.ibm.pc.hardware;64
58;comp.sys.ibm.pc.hardware;73
59;comp.sys.mac.hardware;50
60;comp.sys.ibm.pc.hardware;47
61;comp.sys.mac.hardware;48
62;comp.sys.ibm.pc.hardware;129
63;comp.sys.ibm.pc.hardware;60
64;comp.sys.mac.hardware;55
65;comp.sys.mac.hardware;64
66;comp.sys.ibm.pc.hardware;79
67;comp.sys.ibm.pc.hardware;62
68;comp.sys.mac.hardware;56
69;comp.sys.ibm.pc.hardware;43
70;comp.sys.mac.hardware;41
71;comp.sys.ibm.pc.hardware;48
72;comp.sys.mac.hardware;108
73;comp.sys.mac.hardware;52
74;comp.sys.ibm.pc.hardware;147
75;comp.sys.mac.hardware;82
76;comp.sys.ibm.pc.hardware;63
77;comp.sys.mac.hardware;74
78;comp.sys.ibm.pc.hardware;100
79;comp.sys.ibm.pc.hardware;71
80;comp.sys.ibm.pc.hardware;71
81;comp.sys.mac.hardware;114
82;comp.sys.mac.hardware;90
83;comp.sys.mac.hardware;114
84;comp.sys.ibm.pc.hardware;47
85;comp.sys.ibm.pc.hardware;110
86;comp.sys.mac.hardware;78
87;comp.sys.ibm.pc.hardware;48
88;comp.sys.mac.hardware;50
89;comp.sys.mac.hardware;68
90;comp.sys.mac.hardware;137
91;comp.sys.mac.hardware;64
92;comp.sys.ibm.pc.hardware;74
93;comp.sys.mac.hardware;35
94;comp.sys.ibm.pc.hardware;106
95;comp.sys.mac.hardware;43
96;comp.sys.ibm.pc.hardware;50
97;comp.sys.mac.hardware;79
98;comp.sys.mac.hardware;59
99;comp.sys.mac.hardware;66
