pageid;category;doclength
0;soc.religion.christian;38
1;sci.med;67
2;rec.sport.baseball;67
3;soc.religion.christian;133
4;sci.med;67
5;sci.med;54
6;soc.religion.christian;47
7;sci.med;78
8;rec.sport.baseball;213
9;sci.med;109
10;rec.sport.baseball;171
11;soc.religion.christian;74
12;rec.sport.baseball;112
13;sci.med;52
14;rec.sport.baseball;180
15;soc.religion.christian;63
16;sci.med;82
17;soc.religion.christian;98
18;sci.med;58
19;sci.med;137
20;soc.religion.christian;68
21;rec.sport.baseball;92
22;soc.religion.christian;77
23;rec.sport.baseball;69
24;rec.sport.baseball;76
25;rec.sport.baseball;68
26;sci.med;53
27;rec.sport.baseball;47
28;rec.sport.baseball;231
29;rec.sport.baseball;154
30;rec.sport.baseball;49
31;soc.religion.christian;106
32;sci.med;76
33;soc.religion.christian;73
34;soc.religion.christian;48
35;rec.sport.baseball;215
36;sci.med;113
37;soc.religion.christian;57
38;sci.med;66
39;rec.sport.baseball;43
40;soc.religion.christian;61
41;soc.religion.christian;63
42;sci.med;70
43;sci.med;88
44;rec.sport.baseball;103
45;rec.sport.baseball;68
46;soc.religion.christian;84
47;sci.med;47
48;rec.sport.baseball;209
49;rec.sport.baseball;100
50;soc.religion.christian;38
51;sci.med;39
52;sci.med;66
53;soc.religion.christian;98
54;rec.sport.baseball;75
55;rec.sport.baseball;49
56;sci.med;47
57;soc.religion.christian;80
58;soc.religion.christian;104
59;rec.sport.baseball;53
60;sci.med;124
61;soc.religion.christian;130
62;sci.med;95
63;soc.religion.christian;89
64;sci.med;56
65;sci.med;51
66;sci.med;51
67;rec.sport.baseball;43
68;sci.med;65
69;rec.sport.baseball;75
70;rec.sport.baseball;209
71;rec.sport.baseball;60
72;soc.religion.christian;119
73;soc.religion.christian;99
74;soc.religion.christian;139
75;soc.religion.christian;67
76;rec.sport.baseball;38
77;rec.sport.baseball;112
78;soc.religion.christian;44
79;sci.med;109
80;soc.religion.christian;50
81;sci.med;43
82;soc.religion.christian;38
83;soc.religion.christian;52
84;sci.med;50
85;rec.sport.baseball;67
86;sci.med;119
87;rec.sport.baseball;102
88;rec.sport.baseball;59
89;sci.med;45
90;sci.med;45
91;rec.sport.baseball;80
92;sci.med;88
93;rec.sport.baseball;47
94;rec.sport.baseball;93
95;sci.med;84
96;sci.med;79
97;sci.med;50
98;sci.med;103
99;rec.sport.baseball;26
100;rec.sport.baseball;57
101;rec.sport.baseball;81
102;soc.religion.christian;115
103;sci.med;98
104;sci.med;47
105;sci.med;93
106;soc.religion.christian;98
107;rec.sport.baseball;86
108;sci.med;43
109;sci.med;77
110;rec.sport.baseball;165
111;sci.med;54
112;soc.religion.christian;37
113;soc.religion.christian;56
114;soc.religion.christian;93
115;sci.med;33
116;soc.religion.christian;101
117;soc.religion.christian;105
118;soc.religion.christian;34
119;soc.religion.christian;85
120;soc.religion.christian;77
121;rec.sport.baseball;70
122;soc.religion.christian;95
123;rec.sport.baseball;59
124;rec.sport.baseball;68
125;soc.religion.christian;82
126;sci.med;44
127;rec.sport.baseball;74
128;rec.sport.baseball;80
129;sci.med;75
130;soc.religion.christian;34
131;rec.sport.baseball;66
132;rec.sport.baseball;57
133;sci.med;92
134;soc.religion.christian;112
135;soc.religion.christian;43
136;soc.religion.christian;119
137;rec.sport.baseball;67
138;soc.religion.christian;110
139;rec.sport.baseball;83
140;sci.med;53
141;sci.med;113
142;rec.sport.baseball;50
143;sci.med;91
144;soc.religion.christian;72
145;rec.sport.baseball;61
146;sci.med;67
147;soc.religion.christian;29
148;soc.religion.christian;76
149;soc.religion.christian;97
