pageid;category;doclength
0;rec.motorcycles;67
1;rec.sport.baseball;171
2;rec.sport.baseball;97
3;rec.autos;40
4;rec.autos;99
5;rec.sport.hockey;62
6;rec.motorcycles;153
7;rec.motorcycles;86
8;rec.sport.baseball;93
9;rec.sport.baseball;88
10;rec.autos;69
11;rec.motorcycles;105
12;rec.autos;76
13;rec.sport.baseball;97
14;rec.sport.hockey;63
15;rec.sport.hockey;80
16;rec.autos;76
17;rec.sport.hockey;83
18;rec.autos;79
19;rec.motorcycles;49
20;rec.sport.hockey;97
21;rec.sport.hockey;45
22;rec.sport.hockey;64
23;rec.sport.baseball;109
24;rec.motorcycles;52
25;rec.motorcycles;39
26;rec.autos;78
27;rec.sport.baseball;40
28;rec.motorcycles;55
29;rec.motorcycles;65
30;rec.sport.hockey;128
31;rec.sport.baseball;162
32;rec.autos;56
33;rec.sport.baseball;99
34;rec.motorcycles;75
35;rec.sport.hockey;130
36;rec.sport.hockey;56
37;rec.sport.hockey;60
38;rec.autos;56
39;rec.sport.hockey;96
40;rec.autos;57
41;rec.autos;63
42;rec.sport.baseball;71
43;rec.autos;59
44;rec.autos;59
45;rec.motorcycles;65
46;rec.sport.baseball;74
47;rec.sport.hockey;77
48;rec.motorcycles;78
49;rec.sport.hockey;73
50;rec.sport.baseball;101
51;rec.sport.baseball;69
52;rec.autos;57
53;rec.sport.hockey;84
54;rec.motorcycles;129
55;rec.sport.hockey;162
56;rec.sport.baseball;82
57;rec.motorcycles;78
58;rec.autos;37
59;rec.autos;162
60;rec.autos;53
61;rec.autos;90
62;rec.sport.baseball;125
63;rec.autos;67
64;rec.autos;52
65;rec.motorcycles;81
66;rec.sport.baseball;84
67;rec.sport.hockey;69
68;rec.sport.baseball;95
69;rec.sport.baseball;60
70;rec.autos;66
71;rec.motorcycles;94
72;rec.sport.baseball;61
73;rec.sport.baseball;90
74;rec.sport.hockey;93
75;rec.sport.baseball;68
76;rec.sport.hockey;167
77;rec.motorcycles;68
78;rec.sport.hockey;59
79;rec.sport.hockey;112
80;rec.motorcycles;93
81;rec.autos;56
82;rec.motorcycles;69
83;rec.sport.baseball;70
84;rec.motorcycles;116
85;rec.motorcycles;54
86;rec.autos;108
87;rec.motorcycles;66
88;rec.motorcycles;75
89;rec.autos;79
90;rec.sport.baseball;77
91;rec.sport.hockey;123
92;rec.autos;69
93;rec.motorcycles;58
94;rec.sport.hockey;48
95;rec.sport.hockey;79
96;rec.sport.baseball;91
97;rec.motorcycles;67
98;rec.sport.hockey;67
99;rec.motorcycles;68
100;rec.autos;67
101;rec.autos;62
102;rec.autos;56
103;rec.sport.hockey;73
104;rec.motorcycles;60
105;rec.sport.hockey;52
106;rec.autos;54
107;rec.autos;72
108;rec.autos;63
109;rec.sport.baseball;74
110;rec.autos;88
111;rec.autos;45
112;rec.motorcycles;46
113;rec.motorcycles;70
114;rec.motorcycles;67
115;rec.sport.baseball;138
116;rec.sport.baseball;87
117;rec.motorcycles;156
118;rec.autos;43
119;rec.sport.hockey;15
120;rec.sport.hockey;136
121;rec.sport.baseball;77
122;rec.sport.baseball;106
123;rec.motorcycles;91
124;rec.sport.baseball;112
125;rec.motorcycles;34
126;rec.sport.hockey;52
127;rec.sport.hockey;116
128;rec.sport.hockey;138
129;rec.motorcycles;78
130;rec.sport.hockey;114
131;rec.motorcycles;47
132;rec.autos;72
133;rec.autos;74
134;rec.sport.hockey;65
135;rec.autos;71
136;rec.motorcycles;61
137;rec.motorcycles;65
138;rec.autos;168
139;rec.autos;95
140;rec.sport.hockey;127
141;rec.sport.baseball;65
142;rec.sport.baseball;179
143;rec.motorcycles;82
144;rec.sport.baseball;80
145;rec.sport.hockey;96
146;rec.sport.baseball;134
147;rec.sport.hockey;69
148;rec.sport.hockey;121
149;rec.autos;73
150;rec.sport.hockey;61
151;rec.sport.hockey;66
152;rec.sport.hockey;153
153;rec.sport.baseball;67
154;rec.motorcycles;137
155;rec.motorcycles;95
156;rec.sport.baseball;95
157;rec.motorcycles;56
158;rec.sport.hockey;176
159;rec.autos;46
160;rec.autos;68
161;rec.sport.baseball;83
162;rec.motorcycles;51
163;rec.sport.hockey;71
164;rec.sport.baseball;72
165;rec.autos;68
166;rec.motorcycles;101
167;rec.autos;69
168;rec.sport.hockey;55
169;rec.autos;93
170;rec.motorcycles;51
171;rec.sport.hockey;67
172;rec.sport.baseball;106
173;rec.sport.hockey;27
174;rec.autos;130
175;rec.sport.hockey;81
176;rec.sport.baseball;64
177;rec.motorcycles;59
178;rec.motorcycles;51
179;rec.motorcycles;65
180;rec.motorcycles;35
181;rec.sport.baseball;79
182;rec.sport.hockey;71
183;rec.sport.baseball;70
184;rec.motorcycles;191
185;rec.autos;114
186;rec.sport.baseball;125
187;rec.autos;52
188;rec.sport.baseball;148
189;rec.sport.baseball;165
190;rec.sport.baseball;93
191;rec.sport.hockey;65
192;rec.motorcycles;68
193;rec.sport.baseball;86
194;rec.autos;66
195;rec.sport.baseball;132
196;rec.autos;62
197;rec.sport.hockey;82
198;rec.sport.baseball;103
199;rec.sport.baseball;83
