pageid;category;doclength
0;sci.space;43
1;sci.electronics;54
2;sci.med;72
3;sci.crypt;78
4;sci.crypt;52
5;sci.electronics;66
6;sci.crypt;69
7;sci.crypt;54
8;sci.electronics;59
9;sci.space;72
10;sci.electronics;88
11;sci.med;74
12;sci.crypt;101
13;sci.crypt;72
14;sci.med;58
15;sci.space;99
16;sci.med;64
17;sci.electronics;69
18;sci.space;58
19;sci.crypt;53
20;sci.space;49
21;sci.med;116
22;sci.med;111
23;sci.med;93
24;sci.space;70
25;sci.crypt;81
26;sci.electronics;76
27;sci.med;142
28;sci.space;67
29;sci.med;138
30;sci.space;69
31;sci.crypt;73
32;sci.med;123
33;sci.med;98
34;sci.med;73
35;sci.med;100
36;sci.crypt;120
37;sci.electronics;78
38;sci.electronics;33
39;sci.med;49
40;sci.crypt;75
41;sci.crypt;102
42;sci.med;73
43;sci.electronics;50
44;sci.crypt;60
45;sci.crypt;141
46;sci.electronics;170
47;sci.space;79
48;sci.med;47
49;sci.med;100
50;sci.space;73
51;sci.electronics;92
52;sci.crypt;61
53;sci.space;116
54;sci.med;89
55;sci.electronics;63
56;sci.crypt;56
57;sci.electronics;88
58;sci.space;69
59;sci.med;50
60;sci.space;50
61;sci.electronics;64
62;sci.space;65
63;sci.med;55
64;sci.electronics;107
65;sci.electronics;43
66;sci.electronics;61
67;sci.space;86
68;sci.crypt;148
69;sci.crypt;67
70;sci.electronics;44
71;sci.crypt;110
72;sci.electronics;55
73;sci.electronics;63
74;sci.space;102
75;sci.med;60
76;sci.electronics;87
77;sci.crypt;51
78;sci.electronics;79
79;sci.med;46
80;sci.med;40
81;sci.crypt;56
82;sci.med;74
83;sci.space;54
84;sci.electronics;114
85;sci.electronics;54
86;sci.space;54
87;sci.space;79
88;sci.med;53
89;sci.crypt;71
90;sci.space;53
91;sci.med;40
92;sci.electronics;85
93;sci.crypt;44
94;sci.space;67
95;sci.electronics;109
96;sci.electronics;48
97;sci.electronics;111
98;sci.space;53
99;sci.space;81
100;sci.electronics;79
101;sci.space;91
102;sci.space;91
103;sci.electronics;64
104;sci.space;108
105;sci.space;108
106;sci.electronics;112
107;sci.crypt;118
108;sci.electronics;57
109;sci.crypt;46
110;sci.med;52
111;sci.space;50
112;sci.med;111
113;sci.med;47
114;sci.electronics;40
115;sci.med;68
116;sci.med;62
117;sci.crypt;109
118;sci.crypt;81
119;sci.electronics;62
120;sci.crypt;93
121;sci.crypt;64
122;sci.crypt;59
123;sci.electronics;75
124;sci.med;116
125;sci.crypt;82
126;sci.crypt;92
127;sci.electronics;102
128;sci.crypt;103
129;sci.med;69
130;sci.electronics;54
131;sci.med;74
132;sci.med;160
133;sci.crypt;180
134;sci.med;72
135;sci.crypt;47
136;sci.med;61
137;sci.crypt;109
138;sci.crypt;159
139;sci.crypt;90
140;sci.med;94
141;sci.space;87
142;sci.electronics;58
143;sci.crypt;53
144;sci.electronics;52
145;sci.space;70
146;sci.electronics;96
147;sci.med;126
148;sci.med;104
149;sci.space;82
150;sci.crypt;97
151;sci.space;58
152;sci.electronics;141
153;sci.electronics;55
154;sci.electronics;103
155;sci.med;143
156;sci.space;54
157;sci.crypt;151
158;sci.med;53
159;sci.space;68
160;sci.space;113
161;sci.space;62
162;sci.space;48
163;sci.space;83
164;sci.space;135
165;sci.med;103
166;sci.space;125
167;sci.space;55
168;sci.med;96
169;sci.space;94
170;sci.space;87
171;sci.crypt;79
172;sci.crypt;56
173;sci.crypt;60
174;sci.electronics;112
175;sci.crypt;100
176;sci.electronics;50
177;sci.crypt;77
178;sci.crypt;82
179;sci.med;57
180;sci.med;60
181;sci.electronics;153
182;sci.crypt;81
183;sci.med;55
184;sci.space;69
185;sci.space;52
186;sci.space;49
187;sci.electronics;131
188;sci.space;136
189;sci.crypt;53
190;sci.med;56
191;sci.electronics;51
192;sci.electronics;73
193;sci.electronics;72
194;sci.space;56
195;sci.crypt;55
196;sci.med;56
197;sci.space;48
198;sci.med;70
199;sci.space;65
