pageid;category;title;uniquewordcount;doclength;supercategories;pagecategories
231030;Category:Baleen whales;Baleen whale;227;689;;Category:Baleen whales
35296506;Category:Baleen whales;Alfaguara project;123;211;;Category:Baleen whales,Category:Blue whales,Category:Whale conservation
1226629;Category:Baleen whales;Balaena;63;146;;Category:Baleen whales
41806686;Category:Baleen whales;Balaenella;12;13;;Category:Balaenidae,Category:Baleen whales
306615;Category:Baleen whales;Balaenidae;87;136;;Category:Baleen whales
374367;Category:Baleen whales;Balaenoptera;18;45;;Category:Baleen whales
1992499;Category:Baleen whales;Balaenoptera brydei;162;294;;Category:Baleen whales
4925;Category:Baleen whales;Blue whale;421;1503;;Category:Baleen whales,Category:Blue whales
230517;Category:Baleen whales;Bryde's whale;350;1007;;Category:Baleen whales
30213884;Category:Baleen whales;Cetotheriidae;47;80;;Category:Baleen whales
5441822;Category:Baleen whales;Cetotherium;43;65;;Category:Baleen whales
300069;Category:Baleen whales;Common minke whale;185;399;;Category:Baleen whales
28372352;Category:Baleen whales;Diunatans;43;60;;Category:Baleen whales
734548;Category:Baleen whales;Eobalaenoptera;41;64;;Category:Baleen whales
41935440;Category:Baleen whales;Eomysticetus;27;34;;Category:Baleen whales
10353;Category:Baleen whales;Eschrichtiidae;95;202;;Category:Baleen whales
41803234;Category:Baleen whales;Eschrichtioides;29;34;;Category:Baleen whales
230361;Category:Baleen whales;Fin whale;471;1977;;Category:Baleen whales
13026;Category:Baleen whales;Gray whale;397;1398;;
41763184;Category:Baleen whales;Herpetocetus;20;23;;Category:Baleen whales
231728;Category:Baleen whales;Humpback whale;409;1173;;Category:Baleen whales
6526508;Category:Baleen whales;Janjucetus;72;104;;Category:Baleen whales
27755772;Category:Baleen whales;Joumocetus;61;116;;Category:Baleen whales
19864442;Category:Baleen whales;Kobo whale;74;121;;Category:Baleen whales,Category:Individual blue whales,Category:New Bedford Whaling National Historical Park
7167499;Category:Baleen whales;Mammalodon;37;49;;Category:Baleen whales
7167515;Category:Baleen whales;Mammalodontidae;37;43;;Category:Baleen whales
300064;Category:Baleen whales;Minke whale;235;469;;Category:Baleen whales
41823452;Category:Baleen whales;Miocaperea;22;23;;Category:Baleen whales
311103;Category:Baleen whales;North Atlantic right whale;388;1266;;Category:Balaenidae,Category:Baleen whales
36730281;Category:Baleen whales;Northern fin whale;40;91;;Category:Baleen whales
373363;Category:Baleen whales;Omura's whale;279;823;;Category:Baleen whales
41874389;Category:Baleen whales;Peripolocetus;16;16;;Category:Baleen whales
41797092;Category:Baleen whales;Plesiocetus;28;46;;Category:Baleen whales
41785699;Category:Baleen whales;Protororqualus;20;28;;Category:Baleen whales
11784654;Category:Baleen whales;Pygmy blue whale;102;182;;Category:Baleen whales,Category:Blue whales
320611;Category:Baleen whales;Pygmy right whale;220;489;;Category:Baleen whales
229984;Category:Baleen whales;Rorqual;132;317;;Category:Baleen whales
377441;Category:Baleen whales;Sei whale;440;1561;;Category:Baleen whales
36730395;Category:Baleen whales;Southern fin whale;49;85;;Category:Baleen whales
41757170;Category:Baleen whales;Titanocetus;48;60;;Category:Baleen whales
168053;Category:Dolphins;Amazon river dolphin;170;311;Category:Toothed whales;Category:Dolphins,Category:River dolphins
296994;Category:Dolphins;Bottlenose dolphin;425;1519;Category:Toothed whales;Category:Dolphins
41920329;Category:Dolphins;Bow riding;6;8;Category:Toothed whales;Category:Dolphins
