doc-id;category;sub-category;title;unique-word-count;doc-length
0;whales;Whale_Products;Baleen;53;92
1;whales;Whale_Products;Ambergris;37;48
2;whales;Whale_Products;Whale_oil;55;109
3;whales;Whale_Products;Blubber;52;77
4;whales;Whaling;History_of_whaling;83;122
5;whales;Whaling;Sea_Shepherd_Conservation_Society;54;88
6;whales;Whaling;Aboriginal_whaling;49;77
7;whales;Whaling;International_Convention_for_the_Regulation_of_Whaling;51;84
8;whales;Whaling;Whale_watching;59;89
9;whales;Whaling;Jarmann_harpoon_rifle;43;53
10;whales;Whaling;Whaling;72;128
11;whales;Whaling;International_Whaling_Commission;56;84
12;whales;Whaling;New_Bedford_Whaling_Museum;32;43
13;whales;Whaling;Flensing;50;85
14;whales;Whaling;Nantucket_shipbuilding;70;122
15;whales;Whaling;Southern_Whale_Fishery_Company;30;53
16;whales;Whaling;Anti-whaling;66;100
17;whales;Baleen_Whale;Common_minke_whale;49;107
18;whales;Baleen_Whale;Balaenoptera_omurai;44;65
19;whales;Baleen_Whale;Eobalaenoptera;34;57
20;whales;Baleen_Whale;Balaenoptera_brydei;59;87
21;whales;Baleen_Whale;Pygmy_blue_whale;39;68
22;whales;Baleen_Whale;Blue_whale;80;150
23;whales;Baleen_Whale;Fin_whale;95;186
24;whales;Baleen_Whale;Aetiocetus;42;62
25;whales;Baleen_Whale;Janjucetus;68;92
26;whales;Baleen_Whale;Mammalodon;30;55
27;whales;Baleen_Whale;Humpback_whale;94;143
28;whales;Baleen_Whale;Pygmy_right_whale;81;148
29;whales;Baleen_Whale;Humphrey_the_Whale;76;116
30;whales;Toothed_Whale;Toothed_whale;48;90
31;whales;Toothed_Whale;Beaked_whale;72;116
32;whales;Toothed_Whale;Lagenorhynchus;46;97
33;whales;Toothed_Whale;Bottlenose_whale;62;110
34;whales;Toothed_Whale;Tropical_bottlenose_whale;109;251
35;whales;Toothed_Whale;Cuvier%27s_beaked_whale;59;79
36;whales;Killer_Whale;Killer_Whales_in_popular_culture;62;98
37;whales;Killer_Whale;Dwarf_killer_whale;25;34
38;whales;Killer_Whale;Orca_attacks_on_humans;42;61
39;whales;Killer_Whale;Killer_whale;68;120
40;whales;Killer_Whale;Captive_orcas;87;155
41;whales;Killer_Whale;Tilikum_%28orca%29;37;53
42;whales;Killer_Whale;Southern_Resident_Killer_Whales;63;102
43;tires;Tire;Tire-pressure_monitoring_system;44;71
44;tires;Tire;Tread;72;149
45;tires;Tire;Tire;80;294
46;tires;Tire;Goodyear_Polyglas_tire;48;85
47;tires;Tire;Tire_manufacturing;63;230
48;tires;Tire;Fountain_Tire;49;82
49;tires;Tire;Tire_balance;86;175
50;tires;Tire;Tire_rotation;53;162
51;tires;Tire;Snow_tires;49;87
52;tires;Tire;Airless_tire;43;63
53;tires;Tire;Paddle_tire;60;152
54;tires;Tire;Treadwear_rating;52;96
55;tires;Tire;Bead_breaker;50;76
56;tires;Tire;Direct_TPMS;61;130
57;tires;Tire;Continental_tire;54;105
58;tires;Tire;Beadlock;45;82
59;tires;Tire;Rain_tyre;55;117
60;tires;Tire;Spare_tire;62;103
61;tires;Tire;Motorcycle_tyre;50;86
62;tires;Tire;Tire_code;47;86
63;tires;Tire;Tubeless_tyre;29;55
64;tires;Tire;Tubular_tyre;60;94
65;tires;Tire;Slick_tyre;81;184
66;tires;Tire;Tire_iron;57;116
67;tires;Tire;Radial_tire;32;47
68;tires;Tire;Coker_Tire;37;126
69;tires;Tire;Whitewall_tire;68;134
70;tires;Tire;Kumho_Tire_Co._v._Carmichael;33;56
71;tires;Tire;Tire_maintenance;62;128
72;tires;Tire;Radial_Force_Variation;70;134
73;tires;Tire;Formula_One_tyres;64;119
74;tires;Tire;Schrader_valve;51;88
75;tires;Tire;Firestone_Tire_and_Rubber_Company;42;66
76;tires;Tire;Goodyear_Tire_and_Rubber_Company;27;44
77;tires;Tire;Dunlop_Tyres;39;69
78;tires;Tire;Hankook_Tire;36;67
79;tires;Tire;Nokian_Tyres;64;118
80;tires;Tire;The_Kelly_Springfield_Tire_Company;41;91
81;tires;Tire;United_States_Rubber_Company;47;98
82;tires;Tire;Avon_Rubber;45;54
83;tires;Tire;Dunlop_Rubber;51;83
