pageid;category;title;uniquewordcount;doclength;supercategories;pagecategories
37602;Category:Eagles;Eagle;335;958;;
5737821;Category:Eagles;Eagle feather law;61;134;;Category:Eagles
2490728;Category:Eagles;African Fish Eagle;236;457;;
577272;Category:Eagles;African Hawk-Eagle;59;78;;Category:Eagles
14853352;Category:Eagles;American Eagle Foundation;52;108;;Category:Eagles
1806573;Category:Eagles;Aquila (Roman);106;187;;Category:Eagles
18185526;Category:Eagles;Bald and Golden Eagle Protection Act;426;1509;;Category:Eagles
4401;Category:Eagles;Bald Eagle;756;2987;;Category:Eagles
3830863;Category:Eagles;Bateleur;161;217;;
578233;Category:Eagles;Black Eagle;156;233;;
12766315;Category:Eagles;Black Hawk-Eagle;115;150;;
12418941;Category:Eagles;Black-and-white Hawk-Eagle;255;409;;Category:Eagles
7018372;Category:Eagles;Black-chested Buzzard-Eagle;374;668;;Category:Eagles,Category:Hawks
7820814;Category:Eagles;Blyth's Hawk-Eagle;47;52;;Category:Eagles
754674;Category:Eagles;Bonelli's Eagle;120;173;;Category:Eagles
441578;Category:Eagles;Booted Eagle;82;112;;
12418591;Category:Eagles;Brown Snake Eagle;70;102;;Category:Eagles
577765;Category:Eagles;Changeable Hawk-Eagle;248;412;;Category:Eagles
9659288;Category:Eagles;Crested Eagle;215;342;;
579244;Category:Eagles;Crested Serpent Eagle;220;408;;Category:Eagles
4401579;Category:Eagles;Crowned Eagle;767;3360;;Category:Eagles
36282828;Category:Eagles;Decorah Bald Eagles;310;669;;Category:Eagles
1769231;Category:Eagles;Eagle (heraldry);159;307;;Category:Eagles
37506742;Category:Eagles;Eagle eye;182;338;;Category:Eagles
13738240;Category:Eagles;Eagle festival;49;75;;Category:Eagles,Category:Falconry
24366104;Category:Eagles;Eagle Gate;33;54;;Category:Eagles
88349;Category:Eagles;Eastern Imperial Eagle;117;170;;
88295;Category:Eagles;Golden Eagle;1102;11632;;
441559;Category:Eagles;Greater Spotted Eagle;236;379;;
579229;Category:Eagles;Grey-headed Fish Eagle;54;63;;Category:Eagles
8346283;Category:Eagles;Gurney's Eagle;73;88;;Category:Eagles
87160;Category:Eagles;Haast's Eagle;230;510;;Category:Eagles
357978;Category:Eagles;Harpy Eagle;441;1125;;
6012711;Category:Eagles;Indian Spotted Eagle;143;224;;Category:Eagles
24167602;Category:Eagles;Legge's Hawk-Eagle;68;76;;Category:Eagles
441551;Category:Eagles;Lesser Spotted Eagle;167;249;;
6203976;Category:Eagles;Little Eagle;300;703;;Category:Eagles
3184691;Category:Eagles;Long-crested Eagle;32;35;;Category:Eagles
2736950;Category:Eagles;Madagascan Fish Eagle;122;187;;Category:Eagles
3241615;Category:Eagles;Martial Eagle;318;598;;Category:Eagles
577784;Category:Eagles;Mountain Hawk-Eagle;96;126;;Category:Eagles
12340053;Category:Eagles;Mountain Serpent Eagle;29;43;;Category:Eagles
2230701;Category:Eagles;Ornate Hawk-Eagle;148;198;;
3210907;Category:Eagles;Pallas's Fish Eagle;177;274;;Category:Eagles
88847;Category:Eagles;Philippine Eagle;460;1136;;Category:Eagles
7964263;Category:Eagles;Tasmanian Wedge-tailed Eagle;209;342;;Category:Eagles
594254;Category:Eagles;Rufous-bellied Hawk-Eagle;151;216;;Category:Eagles
4967811;Category:Eagles;Sanford's Sea Eagle;116;177;;Category:Eagles
1799818;Category:Eagles;Sea eagle;135;243;;Category:Eagles
231131;Category:Eagles;Short-toed Snake Eagle;142;187;;
2804118;Category:Eagles;Spanish Imperial Eagle;77;103;;Category:Eagles
7362421;Category:Eagles;Spizaetus;73;125;;Category:Eagles
2784262;Category:Eagles;Steller's Sea Eagle;495;1218;;Category:Eagles
754740;Category:Eagles;Steppe Eagle;105;152;;
754711;Category:Eagles;Tawny Eagle;99;130;;
18180498;Category:Eagles;United States v. Dion;83;242;;Category:Eagles
1984769;Category:Eagles;Verreaux's Eagle;633;2158;;Category:Eagles
577706;Category:Eagles;Wahlberg's Eagle;87;121;;Category:Eagles
199882;Category:Eagles;Wedge-tailed Eagle;272;518;;Category:Eagles
12685092;Category:Eagles;Western Banded Snake Eagle;102;138;;Category:Eagles
201634;Category:Eagles;White-bellied Sea Eagle;534;1412;;
201575;Category:Eagles;White-tailed Eagle;465;1026;;
4582747;Category:Falco (genus);Hierofalcon;130;225;Category:Falcons;Category:Falco (genus)
219427;Category:Falco (genus);Hobby (bird);92;147;Category:Falcons;Category:Falco (genus),Category:Falcons
3347280;Category:Falco (genus);Kestrel;159;299;Category:Falcons;Category:Falco (genus),Category:Falcons
